id,sum,term,payment,guarantees,reason,credits,other_credits,credit_report,marital_status,age,employment,qualification,immigrant,residence_since,accommodation,estate,savings,dependents,phone,status,bankruptcy
147,682,12,4,none,new car,2,none,critical account or other credits existing(not at this bank),female divorced or separated or married,51,4 to 7 y.,skilled employee,yes,3,own,car or other,100 to 500 cu,1,yes,no checking account,0
148,5371,36,3,guarantor,furniture or equipment,2,none,critical account or other credits existing(not at this bank),male single,28,1 to 4 y.,skilled employee,yes,2,own,building society savings agreement or life insurance,less-than 100 cu,1,none,less-than 0 cu,0
149,1582,18,4,none,television or radio,2,none,critical account or other credits existing(not at this bank),male single,46,7+ y.,skilled employee,yes,4,own,car or other,greater-than 1000 cu,1,none,no checking account,0
150,1346,6,2,none,television or radio,1,bank,existing credits paid back duly till now,male single,42,7+ y.,skilled employee,yes,4,for free,unknown or no property,100 to 500 cu,2,yes,no checking account,0
151,1924,10,1,none,television or radio,1,none,existing credits paid back duly till now,male single,38,1 to 4 y.,skilled employee,no,4,own,building society savings agreement or life insurance,less-than 100 cu,1,yes,no checking account,0
152,5848,36,4,none,television or radio,1,none,existing credits paid back duly till now,male single,24,1 to 4 y.,skilled employee,yes,1,own,car or other,less-than 100 cu,1,none,greater-than 200 cu or salary assignments for at least 1 year,0
153,7758,24,2,none,used car,1,none,critical account or other credits existing(not at this bank),female divorced or separated or married,29,7+ y.,skilled employee,yes,4,rent,unknown or no property,greater-than 1000 cu,1,none,0 to 200 cu,0
154,6967,24,4,none,business,1,none,delay in paying off in the past,male single,36,4 to 7 y.,management or self-employed or highly qualified employee,yes,4,rent,car or other,100 to 500 cu,1,yes,0 to 200 cu,0
155,1282,12,2,none,furniture or equipment,1,none,existing credits paid back duly till now,female divorced or separated or married,20,1 to 4 y.,skilled employee,yes,4,rent,car or other,less-than 100 cu,1,none,less-than 0 cu,1
156,1288,9,3,guarantor,repairs,2,none,critical account or other credits existing(not at this bank),male single,48,7+ y.,skilled employee,no,4,own,real estate,100 to 500 cu,2,none,less-than 0 cu,0
157,339,12,4,none,requalification,1,bank,all credits at this bank paid back duly,male married or widowed,45,7+ y.,unskilled resident,yes,1,own,car or other,less-than 100 cu,1,none,less-than 0 cu,0
158,3512,24,2,none,new car,2,bank,existing credits paid back duly till now,male single,38,4 to 7 y.,skilled employee,yes,3,own,car or other,100 to 500 cu,1,yes,0 to 200 cu,0
159,1898,6,1,none,television or radio,2,none,critical account or other credits existing(not at this bank),male single,34,1 to 4 y.,unskilled resident,yes,2,own,real estate,unknown or no savings account,2,none,no checking account,0
160,2872,24,3,none,television or radio,1,none,critical account or other credits existing(not at this bank),male single,36,7+ y.,skilled employee,yes,4,own,real estate,100 to 500 cu,2,yes,no checking account,0
161,1055,18,4,none,new car,2,none,critical account or other credits existing(not at this bank),female divorced or separated or married,30,less-than 1 y.,skilled employee,yes,1,own,building society savings agreement or life insurance,less-than 100 cu,1,none,no checking account,0
162,1262,15,4,none,household appliances,2,none,existing credits paid back duly till now,male single,36,4 to 7 y.,skilled employee,yes,3,own,building society savings agreement or life insurance,500 to 1000 cu,1,yes,no checking account,0
163,7308,10,2,none,new car,1,bank,existing credits paid back duly till now,male single,70,unemployed,management or self-employed or highly qualified employee,yes,4,for free,unknown or no property,less-than 100 cu,1,yes,0 to 200 cu,0
164,909,36,4,none,new car,1,none,existing credits paid back duly till now,male single,36,7+ y.,skilled employee,yes,4,own,building society savings agreement or life insurance,500 to 1000 cu,1,none,no checking account,0
165,2978,6,1,none,furniture or equipment,1,none,existing credits paid back duly till now,male single,32,1 to 4 y.,skilled employee,yes,2,own,car or other,500 to 1000 cu,1,yes,no checking account,0
166,1131,18,4,none,furniture or equipment,1,none,existing credits paid back duly till now,female divorced or separated or married,33,unemployed,skilled employee,yes,2,own,car or other,less-than 100 cu,1,none,less-than 0 cu,1
167,1577,11,4,none,furniture or equipment,1,none,existing credits paid back duly till now,female divorced or separated or married,20,less-than 1 y.,skilled employee,yes,1,own,real estate,greater-than 1000 cu,1,none,0 to 200 cu,0
168,3972,24,2,none,furniture or equipment,1,none,existing credits paid back duly till now,female divorced or separated or married,25,4 to 7 y.,skilled employee,yes,4,rent,building society savings agreement or life insurance,less-than 100 cu,1,yes,no checking account,0
169,1935,24,4,none,business,2,none,critical account or other credits existing(not at this bank),male divorced or separated,31,7+ y.,skilled employee,yes,4,own,real estate,less-than 100 cu,1,yes,0 to 200 cu,1
170,950,15,4,none,new car,2,none,no credits or all paid,male single,33,7+ y.,skilled employee,yes,3,rent,car or other,less-than 100 cu,2,none,less-than 0 cu,1
171,763,12,4,none,furniture or equipment,1,none,existing credits paid back duly till now,female divorced or separated or married,26,1 to 4 y.,skilled employee,yes,1,own,real estate,less-than 100 cu,1,yes,no checking account,0
172,2064,24,3,none,furniture or equipment,1,none,delay in paying off in the past,female divorced or separated or married,34,unemployed,management or self-employed or highly qualified employee,yes,2,own,building society savings agreement or life insurance,less-than 100 cu,1,yes,0 to 200 cu,1
173,1414,8,4,guarantor,television or radio,1,none,existing credits paid back duly till now,male single,33,1 to 4 y.,skilled employee,no,2,own,real estate,less-than 100 cu,1,none,0 to 200 cu,0
174,3414,21,2,none,education,2,none,delay in paying off in the past,male single,26,less-than 1 y.,skilled employee,yes,1,own,building society savings agreement or life insurance,less-than 100 cu,1,none,less-than 0 cu,1
175,7485,30,4,none,used car,1,bank,all credits at this bank paid back duly,female divorced or separated or married,53,unemployed,management or self-employed or highly qualified employee,yes,1,own,real estate,unknown or no savings account,1,yes,no checking account,1
176,2577,12,2,none,furniture or equipment,1,none,existing credits paid back duly till now,male divorced or separated,42,1 to 4 y.,skilled employee,yes,1,own,car or other,less-than 100 cu,1,none,less-than 0 cu,0
177,338,6,4,none,television or radio,2,none,critical account or other credits existing(not at this bank),male single,52,7+ y.,skilled employee,yes,4,own,car or other,500 to 1000 cu,1,none,less-than 0 cu,0
178,1963,12,4,none,television or radio,2,none,existing credits paid back duly till now,male single,31,4 to 7 y.,management or self-employed or highly qualified employee,yes,2,rent,car or other,less-than 100 cu,2,yes,no checking account,0
179,571,21,4,none,new car,2,none,critical account or other credits existing(not at this bank),male single,65,7+ y.,skilled employee,yes,4,own,real estate,less-than 100 cu,1,none,less-than 0 cu,0
180,9572,36,1,none,business,2,none,delay in paying off in the past,male divorced or separated,28,less-than 1 y.,skilled employee,yes,1,own,car or other,less-than 100 cu,1,none,no checking account,1
181,4455,36,2,none,business,2,stores,delay in paying off in the past,male divorced or separated,30,1 to 4 y.,management or self-employed or highly qualified employee,yes,2,own,real estate,less-than 100 cu,1,yes,0 to 200 cu,1
182,1647,21,4,none,new car,2,none,all credits at this bank paid back duly,male single,40,1 to 4 y.,unskilled resident,yes,2,own,building society savings agreement or life insurance,unknown or no savings account,2,none,less-than 0 cu,1
183,3777,24,4,none,furniture or equipment,1,none,critical account or other credits existing(not at this bank),male single,50,1 to 4 y.,skilled employee,yes,4,own,real estate,greater-than 1000 cu,1,yes,no checking account,0
184,884,18,4,none,new car,1,bank,critical account or other credits existing(not at this bank),male single,36,7+ y.,skilled employee,yes,4,own,car or other,less-than 100 cu,2,yes,0 to 200 cu,1
185,1360,15,4,none,television or radio,2,none,critical account or other credits existing(not at this bank),male single,31,1 to 4 y.,skilled employee,yes,2,own,building society savings agreement or life insurance,less-than 100 cu,1,none,no checking account,0
186,5129,9,2,none,used car,1,bank,all credits at this bank paid back duly,female divorced or separated or married,74,7+ y.,management or self-employed or highly qualified employee,yes,4,for free,unknown or no property,less-than 100 cu,2,yes,0 to 200 cu,1
187,1175,16,2,none,new car,3,none,critical account or other credits existing(not at this bank),male single,68,unemployed,unemployed or unskilled non-resident,yes,3,for free,car or other,less-than 100 cu,1,yes,0 to 200 cu,0
188,674,12,4,none,television or radio,1,none,existing credits paid back duly till now,male married or widowed,20,4 to 7 y.,skilled employee,yes,1,own,building society savings agreement or life insurance,100 to 500 cu,1,none,less-than 0 cu,1
189,3244,18,1,none,furniture or equipment,2,bank,no credits or all paid,female divorced or separated or married,33,1 to 4 y.,skilled employee,yes,4,own,car or other,less-than 100 cu,1,yes,0 to 200 cu,0
190,4591,24,2,none,business,3,none,existing credits paid back duly till now,male single,54,1 to 4 y.,management or self-employed or highly qualified employee,yes,3,own,building society savings agreement or life insurance,greater-than 1000 cu,1,yes,no checking account,1
191,3844,48,4,none,business,1,none,no credits or all paid,male single,34,4 to 7 y.,unskilled resident,yes,4,for free,unknown or no property,100 to 500 cu,2,none,0 to 200 cu,1
192,3915,27,4,none,business,1,none,existing credits paid back duly till now,male single,36,1 to 4 y.,skilled employee,yes,2,own,car or other,less-than 100 cu,2,yes,0 to 200 cu,1
193,2108,6,2,none,television or radio,1,none,existing credits paid back duly till now,male married or widowed,29,4 to 7 y.,skilled employee,yes,2,rent,real estate,less-than 100 cu,1,none,no checking account,0
194,3031,45,4,guarantor,television or radio,1,none,existing credits paid back duly till now,male single,21,1 to 4 y.,skilled employee,yes,4,rent,building society savings agreement or life insurance,100 to 500 cu,1,none,0 to 200 cu,1
195,1501,9,2,none,education,2,none,critical account or other credits existing(not at this bank),female divorced or separated or married,34,7+ y.,management or self-employed or highly qualified employee,yes,3,own,car or other,less-than 100 cu,1,yes,0 to 200 cu,1
196,1382,6,1,none,television or radio,2,none,critical account or other credits existing(not at this bank),female divorced or separated or married,28,1 to 4 y.,skilled employee,yes,1,own,car or other,less-than 100 cu,1,yes,no checking account,0
197,951,12,4,none,furniture or equipment,4,bank,existing credits paid back duly till now,female divorced or separated or married,27,less-than 1 y.,skilled employee,yes,4,rent,car or other,100 to 500 cu,1,none,0 to 200 cu,1
198,2760,24,4,none,used car,1,bank,existing credits paid back duly till now,male single,36,7+ y.,skilled employee,yes,4,for free,unknown or no property,unknown or no savings account,1,yes,0 to 200 cu,0
